
PASS: 995831; IN: 0.112033; expRES: 0.111799; netOUT: 0.107914

PASS: 995832; IN: 0.403943; expRES: 0.393047; netOUT: 0.393699

PASS: 995833; IN: 0.843379; expRES: 0.746894; netOUT: 0.747566

PASS: 995834; IN: 0.778344; expRES: 0.702101; netOUT: 0.702631

PASS: 995835; IN: 0.117618; expRES: 0.117347; netOUT: 0.113808

PASS: 995836; IN: 0.455763; expRES: 0.440148; netOUT: 0.439516

PASS: 995837; IN: 0.507553; expRES: 0.48604; netOUT: 0.485535

PASS: 995838; IN: 0.250801; expRES: 0.24818; netOUT: 0.25241

PASS: 995839; IN: 0.533616; expRES: 0.50865; netOUT: 0.505596

PASS: 995840; IN: 0.0220649; expRES: 0.0220631; netOUT: 0.0301759

PASS: 995841; IN: 0.422559; expRES: 0.410096; netOUT: 0.41037

PASS: 995842; IN: 0.494095; expRES: 0.474235; netOUT: 0.473329

PASS: 995843; IN: 0.348735; expRES: 0.341709; netOUT: 0.344293

PASS: 995844; IN: 0.412427; expRES: 0.400834; netOUT: 0.399756

PASS: 995845; IN: 0.332163; expRES: 0.326089; netOUT: 0.327969

PASS: 995846; IN: 0.759667; expRES: 0.68868; netOUT: 0.688487

PASS: 995847; IN: 0.85989; expRES: 0.75777; netOUT: 0.757353

PASS: 995848; IN: 0.082461; expRES: 0.0823676; netOUT: 0.0779975

PASS: 995849; IN: 0.33079; expRES: 0.32479; netOUT: 0.326737

PASS: 995850; IN: 0.880032; expRES: 0.770759; netOUT: 0.769761

PASS: 995851; IN: 0.722312; expRES: 0.661121; netOUT: 0.661276

PASS: 995852; IN: 0.107791; expRES: 0.107583; netOUT: 0.103411

PASS: 995853; IN: 0.567186; expRES: 0.537261; netOUT: 0.536483

PASS: 995854; IN: 0.782495; expRES: 0.705051; netOUT: 0.707326

PASS: 995855; IN: 0.533464; expRES: 0.508519; netOUT: 0.506321

PASS: 995856; IN: 0.0580462; expRES: 0.0580136; netOUT: 0.0565322

PASS: 995857; IN: 0.746941; expRES: 0.679397; netOUT: 0.681892

PASS: 995858; IN: 0.606586; expRES: 0.570066; netOUT: 0.568578

PASS: 995859; IN: 0.605853; expRES: 0.569464; netOUT: 0.569496

PASS: 995860; IN: 0.302744; expRES: 0.29814; netOUT: 0.301527

PASS: 995861; IN: 0.340251; expRES: 0.333724; netOUT: 0.33384

PASS: 995862; IN: 0.705924; expRES: 0.648737; netOUT: 0.647419

PASS: 995863; IN: 0.0859401; expRES: 0.0858344; netOUT: 0.0816678

PASS: 995864; IN: 0.279824; expRES: 0.276187; netOUT: 0.279508

PASS: 995865; IN: 0.900784; expRES: 0.783814; netOUT: 0.781793

PASS: 995866; IN: 0.316507; expRES: 0.311249; netOUT: 0.312902

PASS: 995867; IN: 0.0749229; expRES: 0.0748529; netOUT: 0.0708078

