
PASS: 995862; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995863; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995864; IN: 0, 0; expOUT: 0; netOUT: 0.000783053

PASS: 995865; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995866; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995867; IN: 1, 1; expOUT: 0; netOUT: 0.000731864

PASS: 995868; IN: 1, 1; expOUT: 0; netOUT: 0.00073184

PASS: 995869; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995870; IN: 1, 1; expOUT: 0; netOUT: 0.00073183

PASS: 995871; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995872; IN: 1, 0; expOUT: 1; netOUT: 0.999309

PASS: 995873; IN: 1, 0; expOUT: 1; netOUT: 0.99931

PASS: 995874; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995875; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995876; IN: 1, 0; expOUT: 1; netOUT: 0.99931

PASS: 995877; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995878; IN: 1, 1; expOUT: 0; netOUT: 0.000731897

PASS: 995879; IN: 0, 0; expOUT: 0; netOUT: 0.000783094

PASS: 995880; IN: 0, 0; expOUT: 0; netOUT: 0.000783083

PASS: 995881; IN: 1, 1; expOUT: 0; netOUT: 0.000731865

PASS: 995882; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995883; IN: 0, 0; expOUT: 0; netOUT: 0.000783075

PASS: 995884; IN: 0, 1; expOUT: 1; netOUT: 0.999314

PASS: 995885; IN: 0, 1; expOUT: 1; netOUT: 0.999314

